City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mina,26.0011,-100.5299,60.96,77,43,8.23,MX,1669342073
1,port blair,11.6667,92.75,78.82,77,100,7.96,IN,1669342073
2,esperance,-33.8667,121.9,65.77,72,69,9.73,AU,1669342073
3,narsaq,60.9167,-46.05,35.82,73,100,5.26,GL,1669342074
4,yellowknife,62.456,-114.3525,23.52,93,100,14.97,CA,1669341820
5,kapaa,22.0752,-159.319,80.58,69,75,26.46,US,1669342075
6,jiblah,13.9216,44.1467,55.35,75,0,4.21,YE,1669342075
7,qaqortoq,60.7167,-46.0333,27.45,71,100,4.92,GL,1669342076
8,bambous virieux,-20.3428,57.7575,76.21,76,70,13.76,MU,1669342076
9,vaini,-21.2,-175.2,82.56,78,75,5.75,TO,1669342077
10,atuona,-9.8,-139.0333,77.95,74,6,10.31,PF,1669342077
11,tasiilaq,65.6145,-37.6368,39.36,70,100,17.38,GL,1669342078
12,mudgee,-32.5943,149.5871,74.79,35,1,9.48,AU,1669341868
13,puerto ayora,-0.7393,-90.3518,68.56,94,69,4.0,EC,1669342079
14,quarai,-30.3875,-56.4514,69.8,54,0,6.67,BR,1669342079
15,brae,60.3964,-1.353,49.96,86,100,24.65,GB,1669342080
16,esmeraldas,-19.7625,-44.3139,65.26,91,6,2.91,BR,1669342080
17,nova kakhovka,46.7545,33.3486,48.92,93,100,6.49,UA,1669342081
18,aklavik,68.2191,-135.0107,-11.16,100,89,3.87,CA,1669342081
19,hobart,-42.8794,147.3294,58.26,80,100,11.5,AU,1669342009
20,ostrovnoy,68.0531,39.5131,25.45,85,10,20.69,RU,1669342082
21,arima,10.6333,-61.2833,75.74,94,100,2.82,TT,1669342076
22,rikitea,-23.1203,-134.9692,69.76,87,100,11.14,PF,1669342083
23,castro,-24.7911,-50.0119,58.59,96,89,8.5,BR,1669342084
24,cape town,-33.9258,18.4232,59.09,54,0,11.99,ZA,1669341961
25,ribeira grande,38.5167,-28.7,65.77,80,98,24.0,PT,1669342084
26,nikolskoye,59.7035,30.7861,19.29,91,68,5.01,RU,1669342085
27,erzincan,39.75,39.5,45.7,71,75,12.66,TR,1669342086
28,najran,17.4924,44.1277,57.56,54,0,2.59,SA,1669342086
29,ust-kuyga,70.0167,135.6,-29.42,97,100,5.46,RU,1669342087
30,mount gambier,-37.8333,140.7667,72.16,41,90,2.55,AU,1669342087
31,paamiut,61.994,-49.6678,24.37,59,100,10.02,GL,1669342088
