City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kodiak,57.79,-152.4072,29.71,93,100,8.05,US,1669681487
1,castro,-24.7911,-50.0119,58.93,98,97,11.9,BR,1669681488
2,margate,51.3813,1.3862,45.3,94,67,1.01,GB,1669681488
3,khatanga,71.9667,102.5,-9.26,98,100,10.47,RU,1669681489
4,santa rosa,14.3122,121.1114,86.09,75,31,9.62,PH,1669681355
5,banff,51.1762,-115.5698,7.83,85,97,0.0,CA,1669681639
6,kapaa,22.0752,-159.319,80.58,92,100,8.05,US,1669681640
7,palma,39.5694,2.6502,55.09,76,75,1.14,ES,1669681615
8,klaeng,12.7797,101.6483,83.95,100,93,2.66,TH,1669681640
9,bethel,41.3712,-73.414,44.96,71,0,4.61,US,1669681716
10,saint-philippe,-21.3585,55.7679,69.39,82,78,5.37,RE,1669681717
11,yellowknife,62.456,-114.3525,-13.45,76,75,11.5,CA,1669681521
12,aklavik,68.2191,-135.0107,-25.53,95,44,5.66,CA,1669681717
13,yeniseysk,58.4497,92.1703,-7.96,95,92,5.03,RU,1669681793
14,lagoa,39.05,-27.9833,66.43,82,92,31.92,PT,1669681793
15,glendive,47.1053,-104.7125,19.49,67,20,23.02,US,1669681794
16,linxia,35.6003,103.2064,14.79,50,23,6.71,CN,1669681869
17,portland,45.5234,-122.6762,43.0,84,15,3.0,US,1669681870
18,punta arenas,-53.15,-70.9167,51.91,62,0,31.07,CL,1669681870
19,sisimiut,66.9395,-53.6735,21.87,70,100,7.96,GL,1669681946
20,touros,-5.1989,-35.4608,77.92,78,36,9.57,BR,1669681946
21,vaini,-21.2,-175.2,82.56,78,40,13.8,TO,1669681947
22,busselton,-33.65,115.3333,75.52,40,0,8.48,AU,1669682022
23,dukat,62.55,155.55,-19.08,97,100,6.96,RU,1669681937
24,dimitrovgrad,54.2139,49.6184,9.09,96,36,4.5,RU,1669682023
25,mataura,-46.1927,168.8643,59.49,64,100,4.29,NZ,1669682024
26,qaanaaq,77.484,-69.3632,-11.16,95,60,5.7,GL,1669681887
27,cherskiy,68.75,161.3,3.72,97,100,6.31,RU,1669681995
28,victoria,22.2855,114.1577,77.38,90,29,5.99,HK,1669681918
29,nishihara,26.1842,127.7558,78.08,89,40,10.36,JP,1669682100
30,bredasdorp,-34.5322,20.0403,61.65,96,11,4.56,ZA,1669682100
31,zhanakorgan,43.9098,67.2495,34.11,44,100,4.68,KZ,1669682176
32,faanui,-16.4833,-151.75,79.3,73,15,9.37,PF,1669682176
33,colares,38.7992,-9.4469,56.34,74,34,8.99,PT,1669682177
34,nikolskoye,59.7035,30.7861,26.49,97,100,4.52,RU,1669682252
35,iqaluit,63.7506,-68.5145,-4.27,77,100,46.04,CA,1669682059
36,dikson,73.5069,80.5464,-1.82,99,76,3.2,RU,1669681989
37,east london,-33.0153,27.9116,66.45,79,5,20.07,ZA,1669682253
38,lebanon,36.2081,-86.2911,54.28,82,100,3.44,US,1669682036
39,texarkana,33.4251,-94.0477,57.42,71,0,4.61,US,1669682199
40,beisfjord,68.3751,17.5988,32.05,84,99,8.93,NO,1669682329
41,ivolginsk,51.7492,107.2837,-2.4,71,100,4.47,RU,1669682330
42,bambous virieux,-20.3428,57.7575,73.22,94,40,3.44,MU,1669682405
43,palmer,42.1584,-72.3287,44.24,73,40,12.66,US,1669682481
44,chuy,-33.6971,-53.4616,66.69,93,29,10.4,UY,1669682481
45,barrow,71.2906,-156.7887,-16.58,76,0,12.66,US,1669682344
46,eydhafushi,5.1033,73.0708,80.13,74,95,2.15,MV,1669682482
47,listvyanskiy,54.4399,83.4984,-14.35,93,86,1.39,RU,1669682557
48,katsuura,35.1333,140.3,69.33,66,100,24.0,JP,1669682633
49,ushuaia,-54.8,-68.3,58.66,38,40,16.11,AR,1669682634
50,constitucion,-35.3333,-72.4167,56.07,92,64,7.34,CL,1669682634
51,rikitea,-23.1203,-134.9692,73.87,78,47,11.83,PF,1669682709
52,luderitz,-26.6481,15.1594,59.04,91,0,0.63,NA,1669682710
53,leninskoye,41.7589,69.3864,45.43,87,100,4.9,KZ,1669682710
54,comodoro rivadavia,-45.8667,-67.5,78.66,22,0,23.02,AR,1669682495
55,huarmey,-10.0681,-78.1522,67.6,82,100,4.5,PE,1669682786
56,vila do maio,15.1333,-23.2167,74.19,65,42,16.46,CV,1669682787
57,hobart,-42.8794,147.3294,59.25,53,20,17.27,AU,1669682733
58,bundaberg,-24.85,152.35,78.22,83,100,1.99,AU,1669682862
59,balod,20.73,81.2047,55.15,66,4,2.91,IN,1669682863
60,cidreira,-30.1811,-50.2056,69.6,86,6,16.91,BR,1669682864
61,el carmen,8.5106,-73.4478,65.79,98,100,3.38,CO,1669682939
62,paamiut,61.994,-49.6678,33.96,91,100,34.36,GL,1669683014
63,ribeira grande,38.5167,-28.7,66.78,92,13,25.01,PT,1669683015
64,hermanus,-34.4187,19.2345,65.8,82,3,9.4,ZA,1669683015
65,norman wells,65.282,-126.8329,-25.56,68,40,0.0,CA,1669683091
66,carnarvon,-24.8667,113.6333,78.55,61,0,9.62,AU,1669683091
67,panguna,-6.3164,155.4848,75.54,87,100,1.81,PG,1669683092
68,port alfred,-33.5906,26.891,66.18,84,4,5.01,ZA,1669683092
69,thompson,55.7435,-97.8558,17.76,79,100,17.27,CA,1669683168
70,puerto maldonado,-12.6,-69.1833,80.58,46,100,0.74,PE,1669683168
71,clyde river,70.4692,-68.5914,-12.77,77,75,16.11,CA,1669683003
72,grand gaube,-20.0064,57.6608,73.38,77,13,4.32,MU,1669683169
73,port elizabeth,-33.918,25.5701,66.49,93,0,16.11,ZA,1669683244
74,roald,62.5833,6.1333,50.92,53,100,8.05,NO,1669683245
75,sao filipe,14.8961,-24.4956,75.45,63,45,11.16,CV,1669683245
76,hamilton,39.1834,-84.5333,46.44,88,100,4.61,US,1669683030
77,leningradskiy,69.3833,178.4167,0.28,87,100,6.35,RU,1669683321
78,mbanza-ngungu,-5.25,14.8667,65.98,99,100,2.71,CD,1669683322
79,puerto ayora,-0.7393,-90.3518,70.56,86,36,1.99,EC,1669683397
80,lebu,-37.6167,-73.65,56.52,89,97,13.62,CL,1669683398
81,westport,41.1415,-73.3579,46.81,69,49,3.0,US,1669683346
82,sitka,57.0531,-135.33,28.98,59,100,6.29,US,1669683398
83,arraial do cabo,-22.9661,-42.0278,73.36,88,75,11.5,BR,1669683474
84,saint-joseph,-21.3667,55.6167,70.18,79,97,4.56,RE,1669683474
85,tambovka,50.0969,128.0489,-0.24,95,100,15.57,RU,1669683475
86,atuona,-9.8,-139.0333,78.03,73,8,12.17,PF,1669683475
87,hilo,19.7297,-155.09,79.61,89,75,5.99,US,1669683312
88,avarua,-21.2078,-159.775,80.65,65,75,13.8,CK,1669683551
89,new norfolk,-42.7826,147.0587,60.71,44,83,5.01,AU,1669683552
90,pathein,16.7833,94.7333,76.77,88,12,2.08,MM,1669683627
91,keti bandar,24.1447,67.4497,72.84,36,100,8.55,PK,1669683628
92,hithadhoo,-0.6,73.0833,81.0,75,90,8.28,MV,1669683629
93,airai,-8.9266,125.4092,69.6,73,91,3.0,TL,1669683705
94,tuktoyaktuk,69.4541,-133.0374,-12.05,99,62,10.29,CA,1669683705
95,chokurdakh,70.6333,147.9167,-26.72,97,100,5.84,RU,1669683706
96,cape town,-33.9258,18.4232,74.37,71,0,3.44,ZA,1669683430
97,nizhniy kuranakh,58.8353,125.4869,-16.78,98,100,1.34,RU,1669683781
98,vanimo,-2.6741,141.3028,84.7,69,100,1.12,PG,1669683782
99,puerto palomas,31.7667,-107.6167,56.41,25,9,14.63,MX,1669683782
100,biak,-0.9131,122.8766,83.17,63,87,1.12,ID,1669683858
101,souillac,-20.5167,57.5167,73.6,80,27,3.49,MU,1669683787
102,jachymov,50.3585,12.9347,35.87,91,75,3.44,CZ,1669683859
103,meulaboh,4.1363,96.1285,77.76,86,100,1.59,ID,1669683934
104,beringovskiy,63.05,179.3167,32.22,98,100,19.8,RU,1669683935
105,epe,6.5841,3.9834,77.16,87,64,2.66,NG,1669683935
106,mehamn,71.0357,27.8492,35.55,80,100,16.11,NO,1669684011
107,ucluelet,48.9329,-125.5528,35.1,81,58,1.59,CA,1669684011
108,baniyas,35.1819,35.9487,64.69,61,91,21.27,SY,1669684012
109,pevek,69.7008,170.3133,17.85,70,100,13.29,RU,1669684012
110,matamoros,25.5333,-103.25,63.86,15,0,1.34,MX,1669683801
111,georgetown,5.4112,100.3354,80.53,85,20,1.14,MY,1669684053
112,komsomolskiy,40.4272,71.7189,43.52,87,100,4.61,UZ,1669684163
113,kintampo,8.0563,-1.7306,76.95,63,55,3.89,GH,1669684164
114,ponta do sol,32.6667,-17.1,66.83,74,18,5.88,PT,1669684239
115,raudeberg,61.9875,5.1352,47.07,59,100,7.09,NO,1669684315
